Id;Ano;Mes;Fornecedor_Id;Valor_dia;Regiao_Id;Zona_Id;Categoria_Id;;;;;;;;0,180690245;3-superartista;0,227181974;2-ArtistasMedios;0,592127781;1-PequenosArtistas
195;2026;1;800;166,6666667;32;6;1;;;;;;;;;;;;;
198;2026;12;19;233,3333333;28;5;1;;;;;;;;;;;;;
199;2026;1;929;7400;32;6;1;;;;;;;;;;;;;
200;2026;1;930;7400;28;5;1;;;;;;;;;;;;;
203;2026;1;840;65000;13;3;3;;;;;;;;;;;;;
204;2026;1;933;25000;5;2;2;;;;;;;;;;;;;
205;2026;1;934;5000;28;5;1;;;;;;;;;;;;;
211;2026;1;6831;25000;13;3;2;;;;;;;;;;;;;
212;2026;1;20;25000;32;6;2;;;;;;;;;;;;;
213;2026;1;871;25000;16;3;2;;;;;;;;;;;;;
214;2026;1;938;25000;26;5;2;;;;;;;;;;;;;
215;2026;1;939;25000;32;6;2;;;;;;;;;;;;;
216;2026;1;21;25000;32;6;2;;;;;;;;;;;;;
217;2026;1;22;25000;16;3;2;;;;;;;;;;;;;
218;2026;1;940;25000;32;6;2;;;;;;;;;;;;;
219;2026;1;23;25000;8;2;2;;;;;;;;;;;;;
220;2026;1;941;25000;32;6;2;;;;;;;;;;;;;
221;2026;1;24;25000;32;6;2;;;;;;;;;;;;;
222;2026;1;25;25000;32;6;2;;;;;;;;;;;;;
223;2026;1;942;25000;32;6;2;;;;;;;;;;;;;
224;2026;1;26;25000;32;6;2;;;;;;;;;;;;;
225;2026;1;943;25000;32;6;2;;;;;;;;;;;;;
226;2026;1;944;25000;32;6;2;;;;;;;;;;;;;
227;2026;1;27;25000;32;6;2;;;;;;;;;;;;;
228;2026;1;28;25000;32;6;2;;;;;;;;;;;;;
229;2026;1;29;25000;32;6;2;;;;;;;;;;;;;
230;2026;1;30;25000;32;6;2;;;;;;;;;;;;;
231;2026;1;31;25000;14;3;2;;;;;;;;;;;;;
232;2026;1;32;25000;32;6;2;;;;;;;;;;;;;
233;2026;1;33;25000;32;6;2;;;;;;;;;;;;;
234;2026;1;34;833,3333333;20;4;1;;;;;;;;;;;;;
235;2026;1;945;833,3333333;32;6;1;;;;;;;;;;;;;
236;2026;1;35;833,3333333;32;6;1;;;;;;;;;;;;;
237;2026;2;36;833,3333333;32;6;1;;;;;;;;;;;;;
238;2026;1;37;833,3333333;32;6;1;;;;;;;;;;;;;
239;2026;1;946;833,3333333;32;6;1;;;;;;;;;;;;;
240;2026;1;861;833,3333333;32;6;1;;;;;;;;;;;;;
241;2026;1;947;833,3333333;1;1;1;;;;;;;;;;;;;
242;2026;1;38;833,3333333;32;6;1;;;;;;;;;;;;;
243;2026;1;39;833,3333333;32;6;1;;;;;;;;;;;;;
244;2026;1;40;833,3333333;32;6;1;;;;;;;;;;;;;
245;2026;1;948;833,3333333;32;6;1;;;;;;;;;;;;;
