Id;Ano;Mes;Fornecedor_Id;Valor_dia;Regiao_Id;Zona_Id;Categoria_Id
16;2026;1;804;14800;27;5;2
69;2026;5;849;10000;20;4;2
77;2026;6;828;22200;1;1;2
100;2026;6;873;14800;26;5;2
135;2026;2;895;25000;2;2;2
136;2026;2;896;25000;1;1;2
137;2026;2;897;25000;1;1;2
138;2026;2;898;25000;1;1;2
139;2026;2;899;25000;22;4;2
140;2026;1;11;25000;1;1;2
141;2026;1;12;25000;32;6;2
158;2026;1;833;20000;20;4;2
160;2026;1;840;30000;1;1;2
170;2026;1;833;20000;1;1;2
174;2026;1;833;20000;28;5;2
193;2026;1;926;25000;32;6;2
204;2026;1;933;25000;5;2;2
211;2026;1;6831;25000;13;3;2
212;2026;1;20;25000;32;6;2
213;2026;1;871;25000;16;3;2
214;2026;1;938;25000;26;5;2
215;2026;1;939;25000;32;6;2
216;2026;1;21;25000;32;6;2
217;2026;1;22;25000;16;3;2
218;2026;1;940;25000;32;6;2
219;2026;1;23;25000;8;2;2
220;2026;1;941;25000;32;6;2
221;2026;1;24;25000;32;6;2
222;2026;1;25;25000;32;6;2
223;2026;1;942;25000;32;6;2
224;2026;1;26;25000;32;6;2
225;2026;1;943;25000;32;6;2
226;2026;1;944;25000;32;6;2
227;2026;1;27;25000;32;6;2
228;2026;1;28;25000;32;6;2
229;2026;1;29;25000;32;6;2
230;2026;1;30;25000;32;6;2
231;2026;1;31;25000;14;3;2
232;2026;1;32;25000;32;6;2
233;2026;1;33;25000;32;6;2
250;2026;1;6831;25000;13;3;2
256;2026;1;47;25000;32;6;2
257;2026;1;950;25000;13;3;2
258;2026;1;48;25000;32;6;2
272;2026;1;957;20672;7;2;2
280;2026;1;963;40000;26;5;2
282;2026;1;965;25000;32;6;2
283;2026;1;966;25000;1;1;2
284;2026;1;967;25000;32;6;2
285;2026;1;968;25000;32;6;2
286;2026;1;969;25000;32;6;2
287;2026;1;970;25000;32;6;2
288;2026;1;971;25000;32;6;2
299;2026;1;978;23000;20;4;2
317;2026;1;986;30000;2;2;2
333;2026;1;1000;14800;24;5;2
366;2026;1;1020;15000;9;2;2
408;2026;11;1047;39666,67;31;5;2
448;2026;4;1021;20000;14;3;2
530;2026;2;915;10000;26;5;2
533;2026;2;804;14800;26;5;2
541;2026;1;1104;45000;32;6;2
572;2026;2;1132;15000;28;5;2
607;2026;2;1146;14800;28;5;2
630;2026;2;1159;16500;4;2;2
641;2026;2;87;25000;1;1;2
642;2026;2;88;25000;32;6;2
643;2026;2;30;25000;14;3;2
661;2026;11;903;49900;16;3;2
1061;2025;5;1321;32000;14;3;2
1064;2025;9;1322;12000;20;4;2
1303;2025;9;255;12350;32;6;2
1380;2025;9;326;12350;32;6;2
1381;2025;11;327;27625;32;6;2
1382;2025;8;328;25350;32;6;2
1383;2025;9;329;27625;31;5;2
1384;2025;8;55;27625;32;6;2
1385;2025;8;330;27625;32;6;2
1386;2025;8;331;27625;32;6;2
1387;2025;8;332;27625;32;6;2
2434;2025;4;1649;44400;32;6;2
2435;2025;4;1650;18000;20;4;2
2436;2025;4;1651;15000;1;1;2
2442;2025;6;1653;12500;20;4;2
2444;2025;5;1149;35000;2;2;2
2819;2025;6;15;40000;2;2;2
2820;2025;6;534;40000;17;3;2
2821;2025;6;535;40000;28;5;2
2822;2025;6;536;40000;32;6;2
2823;2025;6;537;40000;32;6;2
2824;2025;6;538;40000;32;6;2
2825;2025;6;539;40000;32;6;2
2826;2025;6;540;40000;32;6;2
2830;2025;6;1738;49950;17;3;2
2837;2025;3;1743;13200;7;2;2
2838;2025;5;1744;15000;2;2;2
2839;2025;6;1104;20000;1;1;2
2845;2025;8;1747;15000;1;1;2
2849;2025;3;1750;29250;5;2;2
2851;2025;10;1752;35000;1;1;2
2865;2025;5;1756;22200;17;3;2
2870;2025;2;1760;16000;3;2;2
2876;2025;4;1763;40000;1;1;2
2879;2025;7;1764;40000;13;3;2
2880;2025;10;1764;41918,92;16;3;2
2893;2025;7;1767;18000;30;5;2
2895;2025;7;1768;35714,28571;8;2;2
2896;2025;2;1769;24750;32;6;2
2906;2025;12;1021;30000;1;1;2
2909;2025;10;1774;14800;7;2;2
2910;2025;9;903;40000;25;5;2
2911;2025;3;886;15000;25;5;2
2912;2025;8;850;20000;22;4;2
2921;2025;3;1780;10000;5;2;2
2922;2025;5;1742;34246,16;7;2;2
2924;2025;9;1781;17000;15;3;2
2929;2025;2;1785;10000;2;2;2
2930;2025;4;1786;24000;1;1;2
2933;2025;5;1788;40000;31;5;2
2935;2025;5;1112;19000;26;5;2
2949;2025;9;955;12000;24;5;2
2950;2025;4;1384;20000;1;1;2
2954;2025;5;1795;20000;1;1;2
2955;2025;8;1795;15000;15;3;2
2965;2025;12;921;34346,67;3;2;2
2966;2025;6;921;36300;3;2;2
2974;2025;4;1650;36000;1;1;2
2980;2025;4;1650;49500;13;3;2
2981;2025;9;1801;32670,81;13;3;2
2984;2025;8;1804;30000;1;1;2
2994;2025;5;1377;10000;1;1;2
3005;2025;5;912;18000;26;5;2
3011;2025;4;1650;49305,55;25;5;2
3012;2025;5;1817;22200;32;6;2
3017;2025;9;1820;30000;1;1;2
3018;2025;12;1820;30000;2;2;2
3019;2025;8;1820;30000;2;2;2
3027;2025;1;1825;33090;8;2;2
3028;2025;8;1740;10000;8;2;2
3049;2025;3;1835;18000;23;5;2
3050;2025;5;1835;42300;9;2;2
3059;2025;5;1837;15300;24;5;2
3062;2025;2;1838;35000;4;2;2
3063;2025;7;1838;35000;1;1;2
3064;2025;6;1838;35000;28;5;2
3065;2025;3;1838;35000;32;6;2
3076;2025;5;1842;32500;31;5;2
3084;2025;4;983;36666,66667;32;6;2
3094;2025;4;983;49000;5;2;2
3098;2025;9;903;40000;13;3;2
3099;2025;9;903;14257,14286;1;1;2
3101;2025;7;983;29000;9;2;2
3102;2025;5;983;29000;9;2;2
3103;2025;3;983;28000;32;6;2
3104;2025;5;804;14800;13;3;2
3105;2025;6;809;42491,67;13;3;2
3119;2025;5;1844;25000;1;1;2
3123;2025;5;1845;30000;24;5;2
3124;2025;5;1412;10000;24;5;2
3126;2025;9;1846;24987,5;31;5;2
3132;2025;7;1149;12000;29;5;2
3133;2025;8;1149;18000;4;2;2
3134;2025;3;1849;21000;3;2;2
3137;2025;7;1851;20000;25;5;2
